uf,codigo_municipio,municipio,CÓDIGO DO MUNICÍPIO - IBGE,populacao,estabelecimentos_food_service,food_service_por_100mil,estabelecimentos_recentes,taxa_recencia,porte_dominante,porte_maior,taxa_porte_maior,Microempresa,Empresa de Pequeno Porte,Demais,Não informado,Não encontrado,segmento_dominante,total_segmentos,Alimentação preparada,Cantinas,Catering empresarial,Eventos e buffet,Lanchonetes,Outros Food Service,Padarias e confeitaria,Restaurantes
SP,6585,JABORANDI,3524204.0,6269.0,57,909.2359227947042,24,42.10526315789473,Microempresa,1,1.7543859649122806,56,1,0,0,0,Alimentação preparada,57,20,1,4,0,14,6,6,6
MG,4403,CRISTAIS,3120201.0,12688.0,57,449.24337957124845,33,57.89473684210527,Microempresa,0,0.0,57,0,0,0,0,Lanchonetes,57,5,0,0,1,25,11,2,13
RS,8431,CRISTAL,4306056.0,7455.0,57,764.5875251509054,26,45.614035087719294,Microempresa,2,3.508771929824561,55,1,1,0,0,Lanchonetes,57,9,0,0,2,30,6,3,7
SP,6199,BARBOSA,3505104.0,5598.0,57,1018.2207931404072,24,42.10526315789473,Microempresa,0,0.0,57,0,0,0,0,Lanchonetes,57,6,0,1,0,29,5,7,9
BA,3605,ITAGIBA,2915205.0,15692.0,57,363.2424165179709,24,42.10526315789473,Microempresa,0,0.0,57,0,0,0,0,Restaurantes,57,7,1,2,1,16,8,4,18
SC,8287,RIO DO OESTE,4214607.0,8160.0,57,698.529411764706,16,28.07017543859649,Microempresa,5,8.771929824561402,52,4,1,0,0,Lanchonetes,57,10,0,1,2,21,9,5,9
SP,7199,TRES FRONTEIRAS,3554904.0,7102.0,57,802.5908194874683,33,57.89473684210527,Microempresa,0,0.0,57,0,0,0,0,Lanchonetes,57,14,0,2,2,16,13,5,5
MG,4585,IAPU,3129301.0,12675.0,57,449.70414201183434,30,52.63157894736842,Microempresa,0,0.0,57,0,0,0,0,Alimentação preparada,57,15,0,0,5,14,10,5,8
SP,2955,TUIUTI,3554953.0,7002.0,56,799.7714938588975,27,48.214285714285715,Microempresa,1,1.7857142857142856,55,1,0,0,0,Lanchonetes,56,12,0,0,2,15,10,5,12
PE,2469,LAGOA DE ITAENGA,2608503.0,19815.0,56,282.61418117587687,26,46.42857142857143,Microempresa,0,0.0,56,0,0,0,0,Outros Food Service,56,9,0,4,1,10,17,5,10
BA,3763,OLINDINA,2923100.0,22838.0,56,245.20535948857167,25,44.642857142857146,Microempresa,1,1.7857142857142856,55,1,0,0,0,Restaurantes,56,8,0,2,1,11,6,10,18
BA,3759,NOVA SOURE,2922904.0,24828.0,56,225.5517963589496,22,39.285714285714285,Microempresa,2,3.571428571428571,54,2,0,0,0,Lanchonetes,56,4,0,0,1,15,14,9,13
CE,1489,NOVO ORIENTE,2309409.0,29148.0,56,192.12295869356387,14,25.0,Microempresa,0,0.0,56,0,0,0,0,Lanchonetes,56,6,0,3,2,18,10,5,12
SC,1194,PESCARIA BRAVA,4212650.0,10696.0,56,523.5602094240838,22,39.285714285714285,Microempresa,1,1.7857142857142856,55,1,0,0,0,Alimentação preparada,56,19,0,0,0,13,9,11,4
BA,3955,UTINGA,2932804.0,16603.0,56,337.2884418478588,21,37.5,Microempresa,0,0.0,56,0,0,0,0,Outros Food Service,56,7,0,0,5,11,19,4,10
SP,6457,GUARACAI,3517802.0,7423.0,56,754.4119628182675,23,41.07142857142857,Microempresa,2,3.571428571428571,54,2,0,0,0,Restaurantes,56,5,2,1,0,12,11,12,13
PA,621,IPIXUNA DO PARA,1503457.0,28403.0,56,197.16227159102914,40,71.42857142857143,Microempresa,2,3.571428571428571,54,2,0,0,0,Restaurantes,56,6,0,1,4,15,8,1,21
PE,2377,CARNAIBA,2603900.0,19551.0,56,286.4303616183316,19,33.92857142857143,Microempresa,2,3.571428571428571,54,2,0,0,0,Lanchonetes,56,9,0,3,2,11,11,9,11
PE,2407,FEIRA NOVA,2605400.0,22271.0,56,251.44807148309462,23,41.07142857142857,Microempresa,2,3.571428571428571,54,2,0,0,0,Lanchonetes,56,5,0,3,5,14,7,8,14
MS,9801,BODOQUENA,5002159.0,8923.0,56,627.5916171691135,21,37.5,Microempresa,5,8.928571428571429,51,4,1,0,0,Lanchonetes,56,7,0,4,5,21,5,4,10
SP,6433,GALIA,3516606.0,6394.0,56,875.8210822646231,16,28.57142857142857,Microempresa,4,7.142857142857142,52,4,0,0,0,Lanchonetes,56,6,0,0,2,21,10,7,10
AM,223,CAREIRO,1301100.0,32289.0,56,173.4336771036576,29,51.78571428571429,Microempresa,3,5.357142857142857,53,1,2,0,0,Lanchonetes,56,5,0,6,0,17,8,4,16
MA,1285,SANTA LUZIA DO PARUA,2110039.0,24907.0,56,224.8363913759184,33,58.92857142857143,Microempresa,2,3.571428571428571,54,2,0,0,0,Lanchonetes,56,6,0,1,4,14,11,10,10
AL,2875,SAO SEBASTIAO,2708808.0,32709.0,56,171.20670151945947,27,48.214285714285715,Microempresa,1,1.7857142857142856,55,1,0,0,0,Restaurantes,56,0,0,0,3,10,14,14,15
MG,5081,RECREIO,3154101.0,11426.0,56,490.1102748118327,19,33.92857142857143,Microempresa,0,0.0,56,0,0,0,0,Alimentação preparada,56,16,0,1,0,14,10,7,8
PE,2317,AMARAJI,2600906.0,18209.0,56,307.54022736009665,7,12.5,Microempresa,0,0.0,56,0,0,0,0,Lanchonetes,56,5,0,0,2,21,18,1,9
MG,4971,PECANHA,3148608.0,17882.0,56,313.1640756067554,18,32.142857142857146,Microempresa,0,0.0,56,0,0,0,0,Lanchonetes,56,15,0,0,1,16,12,3,9
MG,4383,COROACI,3119203.0,11279.0,56,496.4979164819576,22,39.285714285714285,Microempresa,0,0.0,56,0,0,0,0,Lanchonetes,56,12,1,1,1,16,7,14,4
AL,2725,CAJUEIRO,2701308.0,16559.0,56,338.18467298749925,26,46.42857142857143,Microempresa,2,3.571428571428571,54,2,0,0,0,Lanchonetes,56,7,1,1,4,18,6,11,8
SP,6365,CRISTAIS PAULISTA,3513207.0,9651.0,55,569.8891306600352,19,34.54545454545455,Microempresa,2,3.6363636363636362,53,2,0,0,0,Lanchonetes,55,12,0,1,3,15,14,3,7
BA,3441,CARINHANHA,2907103.0,30498.0,55,180.33969440619057,15,27.27272727272727,Microempresa,2,3.6363636363636362,53,2,0,0,0,Lanchonetes,55,6,0,3,3,24,7,4,8
RS,8613,CONSTANTINA,4305801.0,10631.0,55,517.3549054651492,20,36.36363636363637,Microempresa,3,5.454545454545454,52,3,0,0,0,Lanchonetes,55,8,0,0,1,16,11,6,13
RS,8523,ARROIO DO TIGRE,4301206.0,12290.0,55,447.5183075671277,18,32.72727272727273,Microempresa,1,1.8181818181818181,54,1,0,0,0,Lanchonetes,55,2,0,0,3,23,5,8,14
SP,6463,GUARANTA,3518107.0,6532.0,55,842.0085731781996,20,36.36363636363637,Microempresa,1,1.8181818181818181,54,1,0,0,0,Outros Food Service,55,4,1,0,0,11,17,12,10
GO,9657,VICENTINOPOLIS,5222054.0,9271.0,55,593.2477618379894,30,54.54545454545454,Microempresa,0,0.0,55,0,0,0,0,Restaurantes,55,3,0,2,3,14,8,7,18
PR,7817,RIO AZUL,4122008.0,14174.0,55,388.03442923663044,17,30.909090909090907,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,1,0,0,0,20,18,7,9
SP,6805,PALMEIRA D'OESTE,3535200.0,8951.0,55,614.456485308904,25,45.45454545454545,Microempresa,2,3.6363636363636362,53,2,0,0,0,Lanchonetes,55,5,0,0,0,29,12,2,7
PB,2191,SAO JOSE DE PIRANHAS,2514503.0,19571.0,55,281.0280517091615,20,36.36363636363637,Microempresa,2,3.6363636363636362,53,1,1,0,0,Restaurantes,55,3,0,0,2,13,7,6,24
MG,4963,PATROCINIO DO MURIAE,3148202.0,5772.0,55,952.8759528759529,22,40.0,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,2,0,1,2,29,10,2,9
PR,7843,SANTA CRUZ DE MONTE CASTELO,4123303.0,8872.0,55,619.9278629395852,23,41.81818181818181,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,15,0,1,2,17,13,5,2
RN,1877,TANGARA,2414001.0,13565.0,55,405.4552156284556,24,43.63636363636363,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,9,0,0,3,21,10,8,4
BA,3793,PINDOBACU,2924603.0,19579.0,55,280.91322335155013,23,41.81818181818181,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,2,0,1,1,23,14,1,13
MG,4635,ITABIRINHA,3131802.0,10537.0,55,521.9702002467495,29,52.72727272727272,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,8,0,0,0,19,12,7,9
RS,8857,SANTO ANTONIO DAS MISSOES,4317707.0,10485.0,55,524.5588936576062,15,27.27272727272727,Microempresa,5,9.090909090909092,50,5,0,0,0,Lanchonetes,55,8,0,0,0,22,9,2,14
SP,7041,SANTA MARIA DA SERRA,3547007.0,5303.0,55,1037.1487837073355,21,38.18181818181819,Microempresa,3,5.454545454545454,52,3,0,0,0,Restaurantes,55,9,0,2,0,14,5,9,16
PR,7447,BARBOSA FERRAZ,4102505.0,10465.0,55,525.5613951266125,24,43.63636363636363,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,7,0,1,0,26,9,5,7
AC,151,PLACIDO DE CASTRO,1200385.0,17088.0,55,321.8632958801498,28,50.90909090909091,Microempresa,0,0.0,55,0,0,0,0,Outros Food Service,55,5,2,0,0,7,23,1,17
BA,3847,SALINAS DA MARGARIDA,2927309.0,15685.0,55,350.65349059611094,29,52.72727272727272,Microempresa,2,3.6363636363636362,53,2,0,0,0,Restaurantes,55,3,0,4,2,8,12,4,22
MG,4819,MATO VERDE,3141009.0,12183.0,55,451.4487400476074,23,41.81818181818181,Microempresa,0,0.0,55,0,0,0,0,Lanchonetes,55,5,0,0,3,25,5,4,13
SP,7259,IARAS,3519253.0,8362.0,55,657.7373834011001,27,49.09090909090909,Microempresa,4,7.2727272727272725,51,2,2,0,0,Lanchonetes,55,4,0,2,3,15,12,5,14
MG,4271,CAREACU,3113602.0,7093.0,54,761.313971521218,15,27.77777777777778,Microempresa,2,3.7037037037037033,52,2,0,0,0,Restaurantes,54,1,0,0,1,13,14,9,16
MS,9127,PEDRO GOMES,5006408.0,6850.0,54,788.3211678832116,23,42.592592592592595,Microempresa,1,1.8518518518518516,53,1,0,0,0,Outros Food Service,54,11,0,1,1,7,13,8,13
PA,569,RIO MARIA,1506161.0,19250.0,54,280.5194805194805,22,40.74074074074074,Microempresa,3,5.555555555555555,51,3,0,0,0,Lanchonetes,54,1,0,0,1,22,13,8,9
PA,579,CONCORDIA DO PARA,1502756.0,28253.0,54,191.1301454712774,30,55.55555555555556,Microempresa,4,7.4074074074074066,50,2,2,0,0,Restaurantes,54,2,0,7,2,7,11,3,22
RS,8905,SEBERI,4320206.0,12325.0,54,438.1338742393509,13,24.074074074074073,Microempresa,4,7.4074074074074066,50,3,1,0,0,Restaurantes,54,6,0,3,0,14,11,2,18
CE,1413,INDEPENDENCIA,2305605.0,24400.0,54,221.31147540983605,26,48.148148148148145,Microempresa,2,3.7037037037037033,52,2,0,0,0,Lanchonetes,54,2,0,0,4,19,12,1,16
RJ,784,SAO JOSE DE UBA,3305133.0,7328.0,54,736.8995633187773,25,46.2962962962963,Microempresa,0,0.0,54,0,0,0,0,Lanchonetes,54,9,0,0,0,20,9,9,7
RO,685,MONTE NEGRO,1101401.0,12100.0,54,446.2809917355372,22,40.74074074074074,Microempresa,0,0.0,54,0,0,0,0,Restaurantes,54,3,0,2,0,17,8,2,22
MT,119,NOVA MONTE VERDE,5108956.0,8489.0,54,636.1173283072211,23,42.592592592592595,Microempresa,6,11.11111111111111,48,6,0,0,0,Restaurantes,54,9,0,0,0,14,6,10,15
GO,9575,SANCLERLANDIA,5219001.0,8107.0,54,666.0910324411003,26,48.148148148148145,Microempresa,0,0.0,54,0,0,0,0,Lanchonetes,54,5,0,0,3,22,5,2,17
MG,2689,SENADOR AMARAL,3165578.0,6572.0,54,821.6676810712111,25,46.2962962962963,Microempresa,0,0.0,54,0,0,0,0,Lanchonetes,54,6,0,2,0,19,7,6,14
MG,2669,SANTA RITA DE MINAS,3159357.0,6984.0,54,773.1958762886599,24,44.44444444444444,Microempresa,0,0.0,54,0,0,0,0,Alimentação preparada,54,13,0,2,0,11,13,8,7
RS,8419,ENTRE IJUIS,4306932.0,9368.0,54,576.4304013663535,24,44.44444444444444,Microempresa,1,1.8518518518518516,53,1,0,0,0,Padarias e confeitaria,54,6,0,0,0,11,10,16,11
BA,3645,ITUACU,2917201.0,18519.0,54,291.5924185971165,22,40.74074074074074,Microempresa,1,1.8518518518518516,53,0,1,0,0,Lanchonetes,54,6,0,1,0,16,14,5,12
MG,694,PONTO DOS VOLANTES,3152170.0,11041.0,54,489.0861335024001,24,44.44444444444444,Microempresa,0,0.0,54,0,0,0,0,Lanchonetes,54,6,0,1,1,16,11,5,14
AL,2733,CAPELA,2701704.0,15044.0,54,358.9470885402818,17,31.48148148148148,Microempresa,2,3.7037037037037033,52,2,0,0,0,Lanchonetes,54,4,0,1,0,15,12,9,13
PE,2461,JOAO ALFREDO,2608107.0,28786.0,54,187.59119016188427,22,40.74074074074074,Microempresa,0,0.0,54,0,0,0,0,Padarias e confeitaria,54,1,0,0,0,11,12,15,15
CE,1265,OCARA,2309458.0,25322.0,54,213.2532975278414,23,42.592592592592595,Microempresa,0,0.0,54,0,0,0,0,Restaurantes,54,7,0,1,1,9,7,4,25
BA,3325,ANDARAI,2901304.0,13557.0,53,390.9419488087335,16,30.18867924528302,Microempresa,3,5.660377358490567,50,3,0,0,0,Restaurantes,53,4,0,0,1,19,5,2,22
BA,3851,SANTA BARBARA,2927507.0,21845.0,53,242.61844815747313,21,39.62264150943396,Microempresa,2,3.7735849056603774,51,1,1,0,0,Lanchonetes,53,11,2,1,5,15,9,4,6
RS,8819,ROCA SALES,4315800.0,10646.0,53,497.8395641555514,29,54.71698113207547,Microempresa,1,1.8867924528301887,52,0,1,0,0,Outros Food Service,53,3,0,3,2,11,15,5,14
PI,1089,GUADALUPE,2204501.0,10482.0,53,505.6286968135852,27,50.943396226415096,Microempresa,2,3.7735849056603774,51,2,0,0,0,Restaurantes,53,5,0,0,11,10,8,5,14
CE,1333,AURORA,2301703.0,24223.0,53,218.8003137513933,32,60.37735849056604,Microempresa,0,0.0,53,0,0,0,0,Restaurantes,53,2,0,2,7,7,13,7,15
MG,4571,GUARDA-MOR,3128600.0,6689.0,53,792.3456420989685,20,37.735849056603776,Microempresa,1,1.8867924528301887,52,1,0,0,0,Restaurantes,53,9,1,2,0,12,5,4,20
PR,8463,JURANDA,4112959.0,7906.0,53,670.3769289147483,29,54.71698113207547,Microempresa,2,3.7735849056603774,51,2,0,0,0,Lanchonetes,53,8,0,1,0,18,2,6,18
RR,309,MUCAJAI,1400308.0,20398.0,53,259.8293950387293,32,60.37735849056604,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,4,0,0,2,18,8,6,15
MG,4709,JEQUERI,3135506.0,12621.0,53,419.93502892005387,19,35.84905660377358,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,12,0,2,0,22,10,0,7
PA,485,MARACANA,1504307.0,27054.0,53,195.904487321653,24,45.28301886792453,Microempresa,1,1.8867924528301887,52,1,0,0,0,Restaurantes,53,2,0,0,2,11,8,4,26
MT,1040,NOVA LACERDA,5106182.0,7178.0,53,738.3672332125941,33,62.264150943396224,Microempresa,1,1.8867924528301887,52,0,1,0,0,Alimentação preparada,53,18,1,5,1,18,1,3,6
SP,6447,GUAIMBE,3517307.0,5611.0,53,944.5731598645517,17,32.075471698113205,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,6,0,0,0,24,13,5,5
SC,8365,TROMBUDO CENTRAL,4218608.0,7661.0,53,691.8156898577209,23,43.39622641509434,Microempresa,2,3.7735849056603774,51,2,0,0,0,Lanchonetes,53,6,0,1,0,28,4,6,8
RS,8821,RODEIO BONITO,4315909.0,6831.0,53,775.8746889181672,22,41.509433962264154,Microempresa,2,3.7735849056603774,51,2,0,0,0,Alimentação preparada,53,14,0,1,5,8,3,12,10
BA,3473,CONDEUBA,2908705.0,17563.0,53,301.7707680920116,13,24.528301886792452,Microempresa,2,3.7735849056603774,51,2,0,0,0,Lanchonetes,53,7,0,0,0,12,11,11,12
MA,709,ALTO PARNAIBA,2100501.0,11401.0,53,464.8715024997807,24,45.28301886792453,Microempresa,1,1.8867924528301887,52,1,0,0,0,Restaurantes,53,7,0,0,4,12,8,6,16
AL,2803,MESSIAS,2705200.0,15706.0,53,337.4506558003311,24,45.28301886792453,Microempresa,1,1.8867924528301887,52,0,1,0,0,Lanchonetes,53,4,0,1,1,14,13,12,8
AC,649,PORTO ACRE,1200807.0,17585.0,53,301.3932328689224,30,56.60377358490566,Microempresa,4,7.547169811320755,49,4,0,0,0,Lanchonetes,53,3,0,0,3,18,7,4,18
BA,3829,RIACHO DE SANTANA,2926400.0,32032.0,53,165.45954045954045,25,47.16981132075472,Microempresa,0,0.0,53,0,0,0,0,Restaurantes,53,1,0,3,3,10,11,6,19
MG,4427,DESTERRO DE ENTRE RIOS,3121407.0,7979.0,53,664.2436395538288,25,47.16981132075472,Microempresa,3,5.660377358490567,50,3,0,0,0,Restaurantes,53,8,0,3,0,9,9,11,13
MG,5047,POTE,3152402.0,13553.0,53,391.0573304803365,19,35.84905660377358,Microempresa,1,1.8867924528301887,52,1,0,0,0,Lanchonetes,53,5,0,0,0,22,6,10,10
MT,9863,CAMPINAPOLIS,5102603.0,15902.0,53,333.291409885549,23,43.39622641509434,Microempresa,1,1.8867924528301887,52,0,1,0,0,Lanchonetes,53,0,0,0,1,24,9,3,16
PE,2339,BODOCO,2602001.0,36161.0,53,146.5667431763502,17,32.075471698113205,Microempresa,0,0.0,53,0,0,0,0,Restaurantes,53,2,0,4,1,15,10,5,16
PR,5531,MERCEDES,4115853.0,6248.0,53,848.2714468629962,18,33.9622641509434,Microempresa,1,1.8867924528301887,52,1,0,0,0,Lanchonetes,53,14,0,0,0,19,12,5,3
MG,4719,JOAIMA,3136009.0,13988.0,53,378.8961967400629,19,35.84905660377358,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,7,0,1,1,28,3,7,6
TO,9247,ARRAIAS,1702406.0,10500.0,53,504.76190476190476,22,41.509433962264154,Microempresa,1,1.8867924528301887,52,1,0,0,0,Lanchonetes,53,5,0,1,1,23,8,2,13
PA,465,IGARAPE-MIRI,1503309.0,69918.0,53,75.80308361223148,15,28.30188679245283,Microempresa,3,5.660377358490567,50,3,0,0,0,Alimentação preparada,53,14,0,5,3,5,9,4,13
PR,5487,MARIPA,4115358.0,6878.0,53,770.5728409421343,22,41.509433962264154,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,4,0,2,0,25,10,4,8
GO,9215,ALVORADA DO NORTE,5200803.0,8640.0,53,613.425925925926,25,47.16981132075472,Microempresa,2,3.7735849056603774,51,1,1,0,0,Lanchonetes,53,2,1,0,1,22,4,5,18
SP,6663,MACAUBAL,3528106.0,7575.0,53,699.6699669966997,19,35.84905660377358,Microempresa,0,0.0,53,0,0,0,0,Lanchonetes,53,9,0,0,3,20,6,8,7
SP,3063,TAQUARIVAI,3553856.0,7223.0,53,733.7671327703171,22,41.509433962264154,Microempresa,2,3.7735849056603774,51,1,1,0,0,Lanchonetes,53,7,0,1,1,17,5,8,14
MG,588,CHAPADA GAUCHA,3116159.0,12992.0,53,407.9433497536946,36,67.9245283018868,Microempresa,2,3.7735849056603774,51,2,0,0,0,Lanchonetes,53,5,0,2,4,17,8,3,14
SP,800,IPIGUA,3521150.0,7184.0,52,723.8307349665924,26,50.0,Microempresa,0,0.0,52,0,0,0,0,Alimentação preparada,52,17,0,1,3,8,10,5,8
PR,7423,ANTONIO OLINTO,4101309.0,7027.0,52,740.0028461647929,14,26.923076923076923,Microempresa,1,1.9230769230769231,51,0,1,0,0,Lanchonetes,52,3,0,0,0,23,15,1,10
MG,5013,PIRAJUBA,3150703.0,5864.0,52,886.7667121418827,13,25.0,Microempresa,1,1.9230769230769231,51,0,1,0,0,Outros Food Service,52,7,0,2,2,14,15,5,7
MG,5313,SENADOR FIRMINO,3165701.0,8007.0,52,649.4317472211815,24,46.15384615384615,Microempresa,1,1.9230769230769231,51,1,0,0,0,Lanchonetes,52,1,0,1,1,14,14,10,11
PR,7415,AMAPORA,4100905.0,4646.0,52,1119.2423590185106,16,30.76923076923077,Microempresa,0,0.0,52,0,0,0,0,Lanchonetes,52,7,0,0,0,18,10,9,8
MG,4875,MUNHOZ,3143807.0,7997.0,52,650.2438414405401,20,38.46153846153847,Microempresa,0,0.0,52,0,0,0,0,Lanchonetes,52,3,0,1,1,28,4,6,9
MG,4035,ALPERCATA,3101805.0,7009.0,52,741.9032672278499,22,42.30769230769231,Microempresa,1,1.9230769230769231,51,1,0,0,0,Lanchonetes,52,7,0,2,0,21,6,6,10
PE,2389,CHA GRANDE,2604502.0,21289.0,52,244.25759782047066,29,55.769230769230774,Microempresa,1,1.9230769230769231,51,1,0,0,0,Lanchonetes,52,1,2,1,5,17,7,7,12
MG,2687,LIMEIRA DO OESTE,3138625.0,9290.0,52,559.7416576964478,29,55.769230769230774,Microempresa,2,3.8461538461538463,50,2,0,0,0,Lanchonetes,52,11,0,0,1,18,6,6,10
AM,213,BENJAMIN CONSTANT,1300607.0,41261.0,52,126.02699886090981,25,48.07692307692308,Microempresa,4,7.6923076923076925,48,4,0,0,0,Restaurantes,52,7,0,1,3,14,4,6,17
PR,7627,JABOTI,4111704.0,5687.0,52,914.3660981185159,28,53.84615384615385,Microempresa,0,0.0,52,0,0,0,0,Outros Food Service,52,2,0,0,3,11,16,6,14
SP,7211,UBIRAJARA,3555505.0,5310.0,52,979.2843691148776,21,40.38461538461539,Microempresa,1,1.9230769230769231,51,1,0,0,0,Lanchonetes,52,4,0,0,0,26,15,1,6
GO,9455,PARANAIGUARA,5216304.0,7245.0,52,717.736369910283,32,61.53846153846154,Microempresa,1,1.9230769230769231,51,1,0,0,0,Restaurantes,52,8,0,1,1,15,7,4,16
MS,9053,CARACOL,5002803.0,5078.0,52,1024.0252067743206,21,40.38461538461539,Microempresa,0,0.0,52,0,0,0,0,Alimentação preparada,52,13,0,2,1,13,9,6,8
PA,565,VISEU,1508308.0,62398.0,52,83.33600435911409,25,48.07692307692308,Microempresa,0,0.0,52,0,0,0,0,Restaurantes,52,3,0,0,5,12,12,6,14
PE,2307,AGUA PRETA,2600401.0,26760.0,52,194.31988041853512,26,50.0,Microempresa,2,3.8461538461538463,50,2,0,0,0,Lanchonetes,52,11,0,1,1,13,8,7,11
MT,123,SANTA CARMEM,5107248.0,5912.0,52,879.5669824086604,21,40.38461538461539,Microempresa,2,3.8461538461538463,50,0,2,0,0,Lanchonetes,52,13,0,0,2,16,9,5,7
SC,8315,SAO CARLOS,4216008.0,10413.0,52,499.3757802746567,24,46.15384615384615,Microempresa,1,1.9230769230769231,51,1,0,0,0,Lanchonetes,52,5,0,1,1,20,10,3,12
CE,1561,SOLONOPOLE,2313005.0,18831.0,52,276.14040677606073,26,50.0,Microempresa,0,0.0,52,0,0,0,0,Alimentação preparada,52,12,0,0,5,12,5,8,10
PB,1909,ALAGOINHA,2500502.0,14159.0,52,367.2575746874779,29,55.769230769230774,Microempresa,1,1.9230769230769231,51,1,0,0,0,Outros Food Service,52,7,0,1,5,8,13,11,7
RN,1749,MAXARANGUAPE,2407500.0,10535.0,52,493.5927859515899,19,36.53846153846153,Microempresa,2,3.8461538461538463,50,2,0,0,0,Restaurantes,52,5,0,1,0,9,9,5,23
BA,3085,CANUDOS,2906824.0,16722.0,52,310.96758760913764,29,55.769230769230774,Microempresa,3,5.769230769230769,49,2,1,0,0,Restaurantes,52,5,0,1,1,10,5,6,24
MS,9015,ANAURILANDIA,5000807.0,7643.0,52,680.3611147455188,22,42.30769230769231,Microempresa,0,0.0,52,0,0,0,0,Restaurantes,52,14,0,4,0,5,12,2,15
PE,2405,EXU,2605301.0,33533.0,52,155.07112396743506,27,51.92307692307693,Microempresa,1,1.9230769230769231,51,0,1,0,0,Outros Food Service,52,6,0,1,1,13,14,5,12
MG,4313,CENTRAL DE MINAS,3115706.0,6186.0,51,824.4422890397672,19,37.254901960784316,Microempresa,1,1.9607843137254901,50,1,0,0,0,Lanchonetes,51,5,2,0,3,15,10,3,13
RN,1647,CARNAUBA DOS DANTAS,2402402.0,8324.0,51,612.6862085535801,21,41.17647058823529,Microempresa,1,1.9607843137254901,50,1,0,0,0,Lanchonetes,51,5,0,0,6,17,4,6,13
PR,5455,TUNAS DO PARANA,4127882.0,6859.0,51,743.5486222481412,19,37.254901960784316,Microempresa,2,3.9215686274509802,49,2,0,0,0,Lanchonetes,51,7,0,4,0,15,13,5,7
SP,814,PRATANIA,3541059.0,5280.0,51,965.9090909090909,19,37.254901960784316,Microempresa,1,1.9607843137254901,50,0,1,0,0,Outros Food Service,51,6,0,2,1,10,16,8,8
MG,4161,BONFIM,3108107.0,7747.0,51,658.3193494255842,21,41.17647058823529,Microempresa,0,0.0,51,0,0,0,0,Restaurantes,51,5,0,1,0,16,5,6,18
PA,641,VITORIA DO XINGU,1508357.0,16686.0,51,305.6454512765192,27,52.94117647058824,Microempresa,4,7.8431372549019605,47,2,2,0,0,Outros Food Service,51,5,0,3,2,9,16,4,12
MG,5157,SANTA MARGARIDA,3157906.0,17071.0,51,298.7522699314627,23,45.09803921568628,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,5,0,0,2,30,5,2,7
MG,4163,BONFINOPOLIS DE MINAS,3108206.0,5585.0,51,913.1602506714414,21,41.17647058823529,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,4,2,2,1,17,11,2,12
PR,7831,SABAUDIA,4122701.0,9678.0,51,526.9683818970861,24,47.05882352941176,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,7,0,0,0,26,4,11,3
MS,9923,JUTI,5005152.0,7122.0,51,716.0909856781802,20,39.21568627450981,Microempresa,0,0.0,51,0,0,0,0,Alimentação preparada,51,15,0,1,1,13,11,2,8
MG,4545,GALILEIA,3127305.0,6209.0,51,821.3883072958608,30,58.82352941176471,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,8,0,1,0,19,5,6,12
MG,4377,CORDISBURGO,3118908.0,7481.0,51,681.7270418393263,20,39.21568627450981,Microempresa,3,5.88235294117647,48,3,0,0,0,Restaurantes,51,10,1,0,2,8,14,1,15
MG,4717,JESUANIA,3135902.0,5342.0,51,954.6986147510296,20,39.21568627450981,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,9,0,0,0,20,3,7,12
PR,7463,BORRAZOPOLIS,4103305.0,7809.0,51,653.0925854782943,17,33.33333333333333,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,6,1,0,2,18,14,2,8
BA,3461,COCOS,2908101.0,19926.0,51,255.94700391448356,37,72.54901960784314,Microempresa,4,7.8431372549019605,47,2,2,0,0,Lanchonetes,51,4,1,5,0,16,8,3,14
GO,9437,JOVIANIA,5212105.0,7246.0,51,703.8365995031742,29,56.86274509803921,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,6,0,2,3,16,6,3,15
RN,1797,PENDENCIAS,2409902.0,12464.0,51,409.1784338896021,23,45.09803921568628,Microempresa,0,0.0,51,0,0,0,0,Lanchonetes,51,13,0,3,2,14,9,1,9
MG,2671,UBAPORANGA,3170057.0,13543.0,51,376.57830613601124,18,35.294117647058826,Microempresa,3,5.88235294117647,48,3,0,0,0,Lanchonetes,51,8,0,0,1,20,10,8,4
