uf,codigo_municipio,municipio,CÓDIGO DO MUNICÍPIO - IBGE,populacao,estabelecimentos_food_service,food_service_por_100mil,estabelecimentos_recentes,taxa_recencia,porte_dominante,porte_maior,taxa_porte_maior,Microempresa,Empresa de Pequeno Porte,Demais,Não informado,Não encontrado,segmento_dominante,total_segmentos,Alimentação preparada,Cantinas,Catering empresarial,Eventos e buffet,Lanchonetes,Outros Food Service,Padarias e confeitaria,Restaurantes
PR,7483,CAMPO MOURAO,4104303.0,104881.0,1298,1237.5930816830503,536,41.294298921417564,Microempresa,30,2.311248073959938,1268,22,8,0,0,Lanchonetes,1298,311,6,25,20,415,179,155,187
SC,8061,CAMBORIU,4203204.0,121040.0,1294,1069.0680766688697,755,58.34621329211747,Microempresa,40,3.091190108191654,1254,39,1,0,0,Alimentação preparada,1294,315,3,46,33,307,241,136,213
BA,3993,TEIXEIRA DE FREITAS,2931350.0,154114.0,1288,835.7449680106934,664,51.5527950310559,Microempresa,33,2.562111801242236,1255,28,5,0,0,Lanchonetes,1288,193,8,35,31,362,256,134,269
PE,2629,CAMARAGIBE,2603454.0,156425.0,1282,819.5620904586863,627,48.90795631825273,Microempresa,37,2.886115444617785,1245,30,7,0,0,Lanchonetes,1282,261,7,42,27,335,235,147,228
ES,5629,COLATINA,3201506.0,130043.0,1280,984.2898118314712,540,42.1875,Microempresa,33,2.578125,1247,21,12,0,0,Lanchonetes,1280,241,1,27,31,364,209,153,254
PE,2357,CABO DE SANTO AGOSTINHO,2602902.0,219044.0,1273,581.1617757162944,628,49.332285938727416,Microempresa,94,7.384131971720345,1179,35,59,0,0,Lanchonetes,1273,196,9,101,27,300,225,135,280
RJ,2911,QUEIMADOS,3304144.0,149155.0,1262,846.0996949482081,665,52.694136291600636,Microempresa,25,1.9809825673534072,1237,13,12,0,0,Alimentação preparada,1262,309,3,38,41,256,225,153,237
SP,7225,VALINHOS,3556206.0,132862.0,1245,937.0625159940389,565,45.38152610441767,Microempresa,101,8.112449799196787,1144,52,49,0,0,Alimentação preparada,1245,308,18,60,41,297,138,198,185
SP,2965,BERTIOGA,3506359.0,67941.0,1241,1826.584830956271,623,50.20145044319098,Microempresa,63,5.07655116841257,1178,54,9,0,0,Lanchonetes,1241,182,10,20,26,348,241,103,311
SC,8221,NAVEGANTES,4211306.0,98421.0,1241,1260.9097651923878,705,56.80902497985496,Microempresa,44,3.5455278001611608,1197,31,13,0,0,Lanchonetes,1241,276,4,65,20,286,242,104,244
SP,6165,ARARAS,3503307.0,136113.0,1238,909.5383982426366,530,42.81098546042003,Microempresa,58,4.68497576736672,1180,27,31,0,0,Outros Food Service,1238,236,8,37,23,295,305,114,220
MT,9907,SORRISO,5107925.0,128727.0,1235,959.3946879830961,694,56.19433198380567,Microempresa,80,6.477732793522267,1155,68,12,0,0,Lanchonetes,1235,276,4,33,30,309,276,94,213
